net,length_um
_10130_,1490.02
_10019_,878.42
clknet_0_clock,856.63
_10606_,773.66
_06396_,749.9
_10107_,718.45
_11149_,717.83
_09964_,708.28
_10091_,706.93
_03580_,687.52
_10102_,655.075
_10655_,650.96
_08939_,648.57
_10662_,635.24
_10081_,629.29
clknet_2_1_0_clock,625.95
_12491_,625.15
_08943_,623.42
clock,622.46
_09956_,618.15
_09950_,613.115
_10657_,612.69
_10092_,611.72
_10097_,606.17
_10660_,606
_11085_,602.61
_08937_,601.57
_08945_,600.19
_08970_,596.06
_10031_,594.69
_08968_,594.04
_10604_,587.25
_08948_,581.19
_10112_,580.01
clknet_2_2_0_clock,578.27
_10803_,576.08
_05856_,575.675
_03595_,573.99
_10087_,572.76
_10058_,569
clknet_2_0_0_clock,568.32
_08941_,566.68
csr.io_mem_pc\[23\],566.1
_10073_,564.93
_11037_,564.505
_10994_,564.24
_11012_,562.99
_10670_,561.48
_08931_,561.01
_08929_,560.88
_10868_,560.52
_10117_,559.76
_05214_,555.355
net198,553.74
_10128_,553.31
_07084_,551.75
_07068_,550.86
_05857_,549.42
_08935_,549.19
_10935_,549.15
_10981_,547.97
_10136_,543.85
clknet_2_3_0_clock,541.48
_08933_,540.76
_08563_,538.92
_08964_,538.24
net192,534.79
_03588_,533.55
_06427_,531.34
_10074_,531.31
_04459_,528.95
net195,527.6
_12542_,527.4
_06283_,525.96
_10122_,524.73
csr.io_mem_pc\[18\],523.02
_06691_,519.74
_08388_,518.53
_06637_,516.28
_07371_,515.77
_10800_,515.09
_10872_,513.45
_06251_,510.95
_07127_,508.12
_12512_,507.91
net200,504.52
_11054_,504.09
_10871_,501.73
_10594_,501.54
_11117_,501.53
execute.io_target_pc\[8\],499.9
_09398_,499.46
_12690_,499.07
_11191_,498.81
_10878_,498.52
_09969_,497.67
_10795_,497.34
_10048_,496.99
_10053_,492.14
_12504_,491.37
execute.io_target_pc\[6\],489.74
_11318_,489.28
_06809_,488.795
_10069_,488.51
_12667_,488.475
net193,488.44
_10881_,488.29
_10787_,487.96
net69,486.94
_08562_,484.24
_12636_,479.6
_11058_,479.29
_10772_,478.85
_08542_,478.53
_06686_,476.86
_08079_,476.15
_09902_,475.96
_10588_,474.8
_10064_,471.83
net68,471.39
_03627_,468.78
_08585_,468.72
_06790_,466.74
_08508_,465.03
net197,464.48
_10042_,464.325
_10595_,463.925
_05056_,463.455
_07276_,461.73
